Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Collateral_Type,Loan_Status
LP00035,Female,Yes,0,Not Graduate,Yes,9059,6279.41,303.7,360.0,0.0,None,Y
LP00036,Female,No,3+,Not Graduate,Yes,3908,2139.71,155.9,360.0,0.0,None,Y
LP00037,Male,Yes,0,Not Graduate,No,8684,11021.46,192.9,240.0,1.0,Vehicle,N
LP00038,Female,Yes,0,Not Graduate,No,16019,12744.17,671.2,360.0,1.0,Real Estate,N
LP00039,Male,No,2,Not Graduate,No,3075,4689.47,111.2,120.0,1.0,Vehicle,N
LP00040,Male,Yes,2,Not Graduate,No,6286,13606.73,331.7,360.0,1.0,Real Estate,N
LP00041,Male,Yes,2,Not Graduate,No,6205,783.17,260.5,360.0,0.0,None,Y
LP00042,Female,Yes,1,Not Graduate,No,7706,5910.98,224.8,360.0,0.0,Real Estate,N
LP00043,Female,Yes,3+,Not Graduate,No,4313,1210.44,303.6,360.0,0.0,Real Estate,N
LP00044,Male,Yes,3+,Not Graduate,No,8480,1258.91,172.1,360.0,0.0,Vehicle,Y
LP00045,Female,Yes,3+,Not Graduate,No,9495,14594.98,145.8,360.0,1.0,Real Estate,N
LP00046,Female,Yes,3+,Not Graduate,Yes,9998,6079.36,299.6,360.0,1.0,Real Estate,N
LP00047,Female,No,2,Not Graduate,Yes,3537,9509.77,233.1,360.0,0.0,None,Y
LP00048,Male,Yes,1,Not Graduate,No,3316,4127.62,167.1,360.0,1.0,None,N
LP00049,Female,No,1,Not Graduate,No,6390,4741.2,443.2,360.0,1.0,Vehicle,N
LP00050,Male,No,2,Not Graduate,No,8807,4679.4,113.6,360.0,1.0,Real Estate,N
LP00051,Male,Yes,1,Not Graduate,No,5761,7839.41,285.1,360.0,0.0,Real Estate,N
LP00052,Female,Yes,2,Not Graduate,Yes,4037,18568.52,138.2,360.0,1.0,Real Estate,N
LP00053,Male,No,3+,Not Graduate,Yes,4797,6406.74,114.5,360.0,1.0,Vehicle,Y
LP00054,Female,No,2,Not Graduate,No,7303,1844.38,350.8,360.0,0.0,None,N
LP00055,Female,Yes,3+,Not Graduate,No,5005,1834.97,587.3,360.0,0.0,Vehicle,N
LP00056,Female,Yes,3+,Not Graduate,No,6410,2561.33,322.9,360.0,0.0,Real Estate,N
LP00057,Female,Yes,0,Not Graduate,No,7241,3407.84,495.8,360.0,0.0,Real Estate,N
LP00058,Female,No,2,Not Graduate,No,11116,133.81,314.5,360.0,0.0,None,Y
LP00059,Male,No,0,Not Graduate,No,5105,5919.37,193.8,360.0,1.0,Real Estate,N
LP00060,Female,Yes,2,Not Graduate,No,9094,196.29,437.0,120.0,1.0,Real Estate,N
LP00061,Male,No,2,Not Graduate,No,9044,3974.17,252.3,120.0,0.0,None,Y
LP00062,Female,No,0,Not Graduate,No,3315,3763.4,186.9,360.0,0.0,Vehicle,Y
LP00063,Male,Yes,0,Graduate,No,3919,7660.16,104.1,360.0,0.0,Vehicle,Y
LP00064,Female,No,2,Not Graduate,Yes,5741,1892.0,121.5,360.0,1.0,Vehicle,Y
LP00065,Male,No,1,Not Graduate,No,7206,6309.41,135.9,360.0,1.0,Real Estate,N
LP00066,Female,Yes,3+,Graduate,No,11548,491.46,487.9,360.0,0.0,None,N
LP00067,Male,No,0,Graduate,Yes,11452,4068.76,587.7,360.0,1.0,None,Y
LP00068,Female,Yes,3+,Not Graduate,No,6956,605.12,811.8,120.0,0.0,None,Y
LP00069,Male,No,1,Not Graduate,No,5067,4000.81,132.7,360.0,0.0,None,Y
LP00070,Female,Yes,1,Not Graduate,No,7897,2984.52,235.7,360.0,0.0,Vehicle,Y
LP00071,Female,Yes,1,Not Graduate,No,5659,8755.81,368.7,360.0,0.0,Real Estate,N
LP00072,Male,Yes,0,Not Graduate,No,4976,2207.55,116.0,360.0,0.0,Real Estate,N
LP00073,Male,No,1,Not Graduate,No,5434,9114.57,112.6,360.0,1.0,Real Estate,N
LP00074,Female,No,0,Not Graduate,No,3881,11943.63,280.6,240.0,0.0,None,N
LP00075,Male,No,1,Not Graduate,No,5305,6514.41,310.2,360.0,1.0,Vehicle,N
LP00076,Male,No,3+,Not Graduate,No,5726,7373.2,225.6,360.0,1.0,Real Estate,N
LP00077,Female,No,3+,Graduate,Yes,5827,10408.14,404.2,360.0,1.0,None,Y
LP00078,Male,No,2,Not Graduate,No,14112,5089.02,452.8,360.0,0.0,None,Y
LP00079,Male,Yes,3+,Not Graduate,No,5141,1239.9,159.4,360.0,0.0,Real Estate,Y
LP00080,Female,Yes,2,Not Graduate,No,13990,11534.16,176.2,360.0,0.0,Real Estate,N
LP00081,Male,No,3+,Not Graduate,No,8861,13168.08,250.0,360.0,0.0,Real Estate,Y
LP00082,Male,No,0,Not Graduate,No,4706,1890.31,169.4,360.0,1.0,Real Estate,N
LP00083,Male,No,3+,Not Graduate,No,5923,2543.32,368.6,360.0,0.0,None,Y
LP00084,Male,No,2,Not Graduate,No,4589,5359.56,140.3,360.0,0.0,Real Estate,N
LP00085,Female,No,2,Not Graduate,No,4448,764.73,203.4,360.0,1.0,None,Y
LP00086,Male,No,1,Not Graduate,No,5269,3113.58,506.8,360.0,1.0,Vehicle,Y
LP00087,Male,Yes,0,Graduate,No,3915,12850.42,190.0,360.0,0.0,Real Estate,N
LP00088,Male,No,3+,Not Graduate,No,3855,1711.81,316.3,360.0,1.0,None,N
LP00089,Male,Yes,1,Not Graduate,No,3653,2193.79,284.3,360.0,0.0,Real Estate,Y
LP00090,Male,No,3+,Not Graduate,No,3727,8617.18,227.9,360.0,0.0,Real Estate,Y
LP00091,Female,Yes,3+,Not Graduate,No,3962,3539.57,463.2,360.0,0.0,None,Y
LP00092,Female,Yes,1,Graduate,No,9795,2527.41,629.1,360.0,1.0,Real Estate,N
LP00093,Male,Yes,1,Not Graduate,No,7058,5478.12,313.0,360.0,0.0,Real Estate,N
LP00094,Male,No,1,Not Graduate,No,11402,2567.17,356.6,360.0,1.0,None,N
LP00095,Female,Yes,1,Not Graduate,Yes,9129,11924.07,144.5,360.0,0.0,Real Estate,N
LP00096,Female,No,1,Not Graduate,Yes,6312,2563.5,206.2,360.0,1.0,Vehicle,Y
LP00097,Male,No,3+,Not Graduate,Yes,7907,7730.84,227.3,360.0,1.0,Real Estate,N
LP00098,Male,Yes,1,Not Graduate,Yes,4708,9256.92,142.6,360.0,1.0,Vehicle,N
LP00099,Male,No,0,Not Graduate,No,13994,5475.21,108.5,360.0,0.0,Real Estate,Y
LP00100,Female,Yes,2,Not Graduate,No,5976,3526.68,463.0,360.0,1.0,Real Estate,N
LP00101,Male,No,1,Not Graduate,No,4741,3113.28,159.3,360.0,1.0,Vehicle,N
LP00102,Male,No,1,Not Graduate,No,3875,353.45,316.9,360.0,1.0,Real Estate,N
LP00103,Male,Yes,3+,Graduate,No,9242,3567.39,257.4,360.0,0.0,Real Estate,N
LP00104,Male,No,1,Not Graduate,No,10903,4.76,184.0,360.0,0.0,Real Estate,N
LP00105,Female,Yes,1,Not Graduate,No,11280,2246.16,504.1,360.0,0.0,Vehicle,Y
LP00106,Male,No,1,Not Graduate,No,6507,3840.94,218.0,360.0,1.0,Real Estate,N
LP00107,Male,Yes,3+,Not Graduate,No,10563,9633.76,298.3,360.0,1.0,Real Estate,N
LP00108,Male,No,1,Graduate,Yes,6502,1377.36,240.7,360.0,0.0,None,N
LP00109,Female,Yes,2,Not Graduate,No,10360,1080.14,576.9,240.0,0.0,None,N
LP00110,Female,Yes,3+,Not Graduate,No,9886,815.16,316.1,240.0,0.0,None,Y
LP00111,Female,Yes,2,Not Graduate,No,8492,9511.48,268.7,180.0,0.0,Real Estate,N
LP00112,Male,Yes,3+,Not Graduate,No,10516,10879.62,117.7,360.0,0.0,Vehicle,Y
LP00113,Female,No,1,Not Graduate,No,10034,6436.12,219.8,360.0,0.0,None,Y
LP00114,Female,No,2,Not Graduate,No,8401,5113.94,480.2,360.0,0.0,None,N
LP00115,Male,Yes,3+,Not Graduate,No,3702,5330.83,365.9,360.0,0.0,None,Y
LP00116,Male,No,0,Not Graduate,No,6203,1429.33,632.4,360.0,1.0,None,Y
LP00117,Female,No,1,Not Graduate,No,6685,1647.32,204.6,360.0,0.0,Vehicle,Y
LP00118,Female,Yes,3+,Not Graduate,No,6338,11004.85,236.3,360.0,0.0,Real Estate,N
LP00119,Female,No,0,Not Graduate,No,6129,1375.54,485.8,360.0,0.0,Vehicle,Y
LP00120,Male,Yes,3+,Not Graduate,No,9069,7219.75,386.7,360.0,1.0,Real Estate,N
LP00121,Male,Yes,0,Not Graduate,No,8343,3542.43,146.4,120.0,0.0,Real Estate,Y
LP00122,Male,No,1,Not Graduate,No,3493,9.89,231.8,360.0,1.0,Vehicle,N
LP00123,Female,No,2,Not Graduate,No,7778,6725.63,199.5,360.0,0.0,Vehicle,Y
LP00124,Female,Yes,0,Not Graduate,No,11660,2008.27,312.8,120.0,0.0,Vehicle,N
LP00125,Male,Yes,3+,Graduate,No,11014,8045.59,225.0,360.0,0.0,Vehicle,N
LP00126,Female,Yes,1,Graduate,Yes,4032,4294.32,446.7,360.0,0.0,Vehicle,N
LP00127,Female,Yes,0,Not Graduate,No,4423,10384.66,451.9,360.0,0.0,Real Estate,N
LP00128,Female,No,3+,Not Graduate,No,3403,776.03,239.5,360.0,0.0,Real Estate,N
LP00129,Female,Yes,3+,Not Graduate,No,5765,2609.82,398.3,180.0,0.0,Vehicle,N
LP00130,Male,No,3+,Not Graduate,Yes,13318,5675.7,111.8,360.0,1.0,Real Estate,N
LP00131,Female,Yes,0,Not Graduate,No,3319,4798.14,447.0,360.0,0.0,Vehicle,Y
LP00132,Male,Yes,0,Graduate,No,3900,9672.31,151.6,360.0,0.0,Real Estate,Y
LP00133,Female,Yes,0,Not Graduate,No,3198,3077.72,450.1,360.0,0.0,Real Estate,Y
LP00134,Female,Yes,2,Not Graduate,No,4533,1627.58,293.5,240.0,0.0,Vehicle,Y
LP00135,Male,Yes,0,Not Graduate,No,4136,1096.22,346.7,360.0,0.0,Vehicle,Y
LP00136,Male,Yes,0,Graduate,No,4914,9828.72,277.5,360.0,1.0,Real Estate,N
LP00137,Male,No,0,Not Graduate,No,4034,3441.63,141.6,360.0,0.0,None,Y
LP00138,Female,No,2,Not Graduate,No,3246,9168.73,102.5,360.0,1.0,Real Estate,N
LP00139,Male,No,0,Graduate,No,9354,4273.54,228.1,120.0,1.0,Real Estate,N
LP00140,Male,No,3+,Graduate,No,5398,7155.93,194.0,360.0,1.0,Vehicle,N
LP00141,Male,Yes,0,Not Graduate,No,10148,1395.67,320.1,360.0,0.0,None,N
LP00142,Male,No,3+,Not Graduate,No,9473,1274.67,419.3,360.0,1.0,None,Y
LP00143,Male,No,3+,Not Graduate,No,8551,9178.43,239.6,360.0,1.0,Vehicle,N
LP00144,Female,Yes,3+,Not Graduate,No,3797,3540.31,311.8,360.0,0.0,None,Y
LP00145,Female,No,2,Not Graduate,No,10694,1148.81,506.7,180.0,1.0,Real Estate,Y
LP00146,Male,Yes,2,Not Graduate,No,11525,6468.67,131.8,360.0,0.0,None,Y
LP00147,Female,No,2,Not Graduate,Yes,8105,12929.23,219.9,180.0,0.0,None,Y
LP00148,Male,No,0,Not Graduate,No,9249,9394.9,126.6,360.0,1.0,Real Estate,Y
LP00149,Female,Yes,3+,Not Graduate,No,4863,2409.63,529.0,360.0,0.0,Real Estate,N
LP00150,Male,No,2,Not Graduate,Yes,14162,724.51,139.5,360.0,0.0,Vehicle,N
LP00151,Female,Yes,2,Not Graduate,No,8873,8249.35,305.4,360.0,0.0,Real Estate,N
LP00152,Male,Yes,0,Graduate,No,7875,14240.33,227.9,120.0,0.0,Real Estate,Y
LP00153,Female,No,2,Not Graduate,Yes,6999,8537.87,238.3,360.0,0.0,None,Y
LP00154,Female,Yes,0,Not Graduate,No,11808,3496.22,293.1,360.0,1.0,Vehicle,N
LP00155,Male,Yes,1,Not Graduate,No,3118,9641.97,151.1,360.0,0.0,Real Estate,N
LP00156,Male,Yes,2,Not Graduate,Yes,3210,11236.92,282.3,360.0,1.0,Real Estate,N
LP00157,Male,No,1,Graduate,No,4220,1150.75,447.5,360.0,1.0,Vehicle,N
LP00158,Male,No,0,Not Graduate,No,4218,7589.02,144.5,360.0,1.0,Real Estate,N
LP00159,Female,Yes,3+,Not Graduate,No,5759,1988.29,593.5,360.0,0.0,Real Estate,N
LP00160,Female,No,2,Not Graduate,No,4271,3292.31,121.4,360.0,1.0,None,Y
LP00161,Male,No,0,Not Graduate,No,8340,8107.51,118.0,360.0,1.0,Vehicle,N
LP00162,Female,Yes,3+,Not Graduate,No,3149,2039.39,357.2,360.0,0.0,Vehicle,Y
LP00163,Female,Yes,3+,Not Graduate,No,8204,11646.78,319.2,360.0,0.0,None,Y
LP00164,Male,No,1,Graduate,No,5692,2386.29,284.7,360.0,1.0,None,Y
LP00165,Female,Yes,0,Not Graduate,No,3847,4563.91,309.5,240.0,0.0,Vehicle,N
LP00166,Male,No,3+,Graduate,No,4796,4632.97,262.8,360.0,1.0,Real Estate,N
LP00167,Female,No,2,Not Graduate,Yes,5305,5475.85,288.7,360.0,0.0,None,Y
LP00168,Female,No,2,Not Graduate,No,4050,3909.01,339.5,360.0,0.0,None,Y
LP00169,Male,Yes,1,Not Graduate,No,11666,15393.95,156.7,360.0,0.0,Vehicle,Y
LP00170,Female,No,3+,Not Graduate,No,7093,5012.64,159.3,360.0,1.0,None,Y
LP00171,Female,Yes,0,Graduate,No,5890,5410.24,387.3,360.0,0.0,Real Estate,N
LP00172,Female,Yes,2,Not Graduate,No,4977,1585.02,344.0,360.0,0.0,None,Y
LP00173,Male,No,3+,Graduate,No,3779,11423.7,549.9,360.0,0.0,None,Y
LP00174,Female,Yes,3+,Not Graduate,No,3965,7711.68,318.9,360.0,1.0,Real Estate,Y
LP00175,Male,No,1,Graduate,Yes,3505,204.57,115.0,360.0,1.0,Real Estate,N
LP00176,Female,Yes,2,Not Graduate,No,6652,9902.7,378.5,180.0,0.0,Vehicle,N
LP00177,Male,No,2,Not Graduate,Yes,4666,7937.99,266.9,360.0,1.0,Real Estate,N
LP00178,Male,No,0,Not Graduate,No,4138,6135.17,198.5,360.0,1.0,Vehicle,N
LP00179,Male,No,2,Graduate,No,8368,2975.2,435.0,120.0,0.0,Vehicle,N
LP00180,Male,No,0,Not Graduate,No,14075,5923.02,101.3,360.0,1.0,Vehicle,N
LP00181,Male,Yes,2,Not Graduate,No,7113,10668.03,254.5,360.0,1.0,Real Estate,N
LP00182,Female,No,1,Not Graduate,No,4255,5702.05,181.9,360.0,1.0,Real Estate,N
LP00183,Female,Yes,2,Not Graduate,No,3214,6298.14,100.5,120.0,0.0,None,Y
LP00184,Male,No,0,Not Graduate,No,12490,856.9,219.7,360.0,0.0,Vehicle,N
LP00185,Male,Yes,0,Graduate,Yes,6495,6951.39,161.6,120.0,1.0,Real Estate,N
LP00186,Female,Yes,1,Not Graduate,No,4454,5341.13,358.1,360.0,0.0,Real Estate,N
LP00187,Female,Yes,2,Not Graduate,No,7722,1573.5,581.5,360.0,0.0,Vehicle,N
LP00188,Female,Yes,2,Not Graduate,No,5264,7975.09,359.8,120.0,0.0,Real Estate,N
LP00189,Female,No,1,Not Graduate,No,6854,4730.82,209.1,360.0,0.0,None,Y
LP00190,Male,Yes,2,Not Graduate,Yes,6338,8711.32,300.7,360.0,1.0,Vehicle,Y
LP00191,Female,No,2,Not Graduate,Yes,3285,333.43,215.0,360.0,0.0,None,Y
LP00192,Male,No,0,Not Graduate,No,4483,3824.05,157.6,360.0,0.0,Vehicle,N
LP00193,Male,Yes,2,Not Graduate,No,4747,1184.15,220.0,120.0,0.0,Real Estate,Y
LP00194,Male,No,2,Not Graduate,No,8770,1785.04,212.1,360.0,1.0,Vehicle,N
LP00195,Male,Yes,1,Not Graduate,No,8436,9946.17,127.8,360.0,0.0,None,Y
LP00196,Male,Yes,1,Not Graduate,No,6631,8340.74,232.8,360.0,1.0,Real Estate,N
LP00197,Male,No,3+,Not Graduate,Yes,4480,1414.75,112.2,360.0,0.0,None,N
LP00198,Male,Yes,0,Not Graduate,No,10190,4407.15,208.2,360.0,0.0,Vehicle,Y
LP00199,Female,Yes,2,Not Graduate,Yes,4014,9377.17,326.8,360.0,1.0,Real Estate,N
LP00200,Female,No,2,Not Graduate,No,8293,4288.64,177.7,360.0,0.0,Vehicle,N
LP00201,Female,Yes,3+,Not Graduate,No,4818,1841.78,446.5,240.0,1.0,Real Estate,N
LP00202,Male,Yes,2,Not Graduate,No,8529,11940.9,661.3,360.0,0.0,Real Estate,N
LP00203,Female,Yes,0,Not Graduate,Yes,5502,6258.44,378.9,360.0,0.0,Vehicle,N
LP00204,Male,Yes,3+,Not Graduate,No,7062,6017.19,104.1,240.0,0.0,Real Estate,Y
LP00205,Female,Yes,0,Not Graduate,No,5282,6797.66,203.4,360.0,0.0,Real Estate,N
LP00206,Female,No,3+,Not Graduate,No,6261,5720.35,136.8,360.0,0.0,None,Y
LP00207,Female,Yes,3+,Not Graduate,No,9433,893.82,455.3,360.0,0.0,Real Estate,N
LP00208,Male,Yes,1,Not Graduate,No,5161,5453.35,205.0,180.0,0.0,None,Y
LP00209,Male,Yes,0,Not Graduate,No,8665,8865.85,296.1,360.0,1.0,Real Estate,N
LP00210,Female,No,2,Not Graduate,No,4460,32.99,258.3,120.0,0.0,None,Y
LP00211,Male,No,2,Graduate,No,4941,1822.55,525.5,360.0,1.0,Vehicle,N
LP00212,Male,Yes,0,Not Graduate,No,6694,598.73,296.8,360.0,0.0,Vehicle,N
LP00213,Female,Yes,2,Not Graduate,Yes,3817,5400.27,573.5,360.0,0.0,Vehicle,N
LP00214,Male,Yes,2,Graduate,No,4706,12606.11,184.8,360.0,0.0,Real Estate,Y
LP00215,Female,Yes,0,Graduate,No,7859,8785.14,298.5,360.0,0.0,Real Estate,N
LP00216,Female,Yes,3+,Not Graduate,No,12658,9702.12,667.6,360.0,1.0,Real Estate,N
LP00217,Female,No,0,Not Graduate,No,4319,6850.37,291.4,360.0,0.0,None,Y
LP00218,Male,No,3+,Graduate,No,16046,10210.99,380.3,360.0,0.0,Real Estate,Y
LP00219,Male,Yes,2,Graduate,No,7563,8143.6,230.6,360.0,1.0,Vehicle,N
LP00220,Female,Yes,2,Not Graduate,No,4348,3822.37,309.5,360.0,1.0,Vehicle,Y
LP00221,Female,No,2,Not Graduate,No,4916,6928.91,239.5,360.0,0.0,None,N
LP00222,Male,No,1,Not Graduate,Yes,4621,6770.81,113.1,360.0,0.0,Real Estate,N
LP00223,Male,Yes,3+,Graduate,Yes,5061,15100.46,344.7,360.0,0.0,Real Estate,Y
LP00224,Female,No,1,Not Graduate,No,4810,5769.9,336.7,360.0,0.0,Vehicle,N
LP00225,Female,Yes,1,Not Graduate,No,10776,10584.97,378.5,360.0,0.0,Real Estate,N
LP00226,Male,Yes,0,Not Graduate,No,4011,8917.88,192.1,360.0,0.0,Real Estate,N
LP00227,Male,No,1,Graduate,No,15401,7351.12,223.9,180.0,1.0,Real Estate,N
LP00228,Female,Yes,0,Not Graduate,No,3171,8207.54,483.4,360.0,0.0,Real Estate,N
LP00229,Male,Yes,0,Not Graduate,Yes,9716,8858.86,119.0,360.0,1.0,Real Estate,N
LP00230,Male,No,1,Not Graduate,Yes,10880,6520.48,233.6,360.0,1.0,Real Estate,N
LP00231,Male,No,3+,Graduate,Yes,5651,3223.69,142.0,360.0,1.0,Real Estate,N
LP00232,Male,Yes,3+,Not Graduate,No,5398,1493.02,198.2,360.0,0.0,Real Estate,N
LP00233,Male,Yes,3+,Not Graduate,No,6288,3189.04,281.3,360.0,0.0,Real Estate,Y
LP00234,Male,No,3+,Not Graduate,No,6452,4720.73,274.8,360.0,0.0,None,Y
LP00235,Male,No,3+,Not Graduate,No,6845,366.83,228.7,360.0,1.0,Real Estate,N
LP00236,Female,Yes,1,Graduate,Yes,6268,3018.23,687.5,360.0,0.0,Real Estate,N
LP00237,Male,Yes,1,Not Graduate,No,12825,853.35,161.8,360.0,0.0,Real Estate,Y
LP00238,Male,No,2,Graduate,No,4377,5057.49,131.0,360.0,0.0,Vehicle,N
LP00239,Male,No,3+,Not Graduate,No,3604,9427.48,283.9,360.0,1.0,Real Estate,N
LP00240,Female,Yes,1,Not Graduate,No,4096,3808.56,513.7,240.0,0.0,Vehicle,N
LP00241,Female,Yes,2,Not Graduate,No,3406,7494.92,257.1,360.0,0.0,Real Estate,N
LP00242,Male,No,3+,Graduate,Yes,4237,2134.39,128.4,360.0,0.0,None,Y
LP00243,Male,Yes,0,Graduate,Yes,4071,6901.4,249.3,120.0,0.0,Real Estate,Y
LP00244,Male,Yes,2,Graduate,No,4288,7799.08,256.2,360.0,0.0,Real Estate,N
LP00245,Female,Yes,1,Not Graduate,No,15989,4418.42,391.2,360.0,0.0,Vehicle,N
LP00246,Male,No,0,Not Graduate,No,3980,3925.0,174.7,360.0,0.0,None,Y
LP00247,Male,No,0,Graduate,No,9785,6013.26,473.3,180.0,1.0,None,Y
LP00248,Male,No,0,Not Graduate,Yes,9334,2727.25,227.9,360.0,0.0,Vehicle,Y
LP00249,Male,No,2,Not Graduate,No,4484,6826.59,203.7,360.0,1.0,Real Estate,N
LP00250,Female,Yes,1,Not Graduate,No,5994,2981.71,383.4,360.0,0.0,Real Estate,Y
LP00251,Female,Yes,0,Not Graduate,No,7136,4245.47,435.7,240.0,1.0,Vehicle,N
LP00252,Female,Yes,3+,Not Graduate,Yes,4442,8555.95,221.4,360.0,1.0,Real Estate,N
LP00253,Male,No,0,Graduate,No,5119,5939.83,281.0,360.0,0.0,None,Y
LP00254,Male,No,0,Not Graduate,No,12763,1173.47,403.5,180.0,1.0,Real Estate,N
LP00255,Male,Yes,2,Not Graduate,Yes,14509,13427.74,292.0,360.0,1.0,Real Estate,Y
LP00256,Female,No,2,Not Graduate,Yes,5751,777.95,187.8,360.0,1.0,Real Estate,N
LP00257,Male,No,1,Not Graduate,No,5080,4913.42,198.1,360.0,1.0,Vehicle,N
LP00258,Male,Yes,3+,Not Graduate,No,4418,7707.58,252.8,360.0,1.0,Real Estate,N
LP00259,Male,Yes,2,Not Graduate,No,9235,3426.41,145.2,180.0,1.0,Vehicle,Y
LP00260,Female,Yes,0,Not Graduate,No,17721,6097.11,200.5,360.0,1.0,Vehicle,N
LP00261,Female,Yes,1,Not Graduate,No,6849,7053.13,347.2,360.0,0.0,Vehicle,Y
LP00262,Female,Yes,0,Not Graduate,No,6747,3915.42,642.4,360.0,0.0,Vehicle,N
LP00263,Female,Yes,0,Not Graduate,No,8506,6963.77,294.5,360.0,0.0,None,Y
LP00264,Male,No,2,Not Graduate,No,3883,9615.02,256.5,240.0,0.0,None,Y
LP00265,Male,Yes,1,Graduate,No,3733,4611.77,273.7,360.0,0.0,Real Estate,N
LP00266,Female,No,3+,Not Graduate,No,7697,4454.44,316.3,360.0,0.0,Real Estate,N
LP00267,Male,Yes,3+,Not Graduate,No,3995,4601.67,156.7,360.0,1.0,Vehicle,Y
LP00268,Male,Yes,2,Graduate,No,5295,3763.3,180.1,180.0,1.0,None,Y
LP00269,Male,No,2,Graduate,No,3602,8166.91,169.6,360.0,1.0,Real Estate,N
LP00270,Female,Yes,1,Graduate,No,6380,2887.01,166.8,360.0,1.0,None,Y
LP00271,Male,Yes,3+,Not Graduate,No,3836,5061.13,114.1,360.0,0.0,Real Estate,N
LP00272,Male,Yes,3+,Graduate,No,11644,7447.98,337.8,360.0,0.0,Vehicle,N
LP00273,Male,No,3+,Not Graduate,No,7299,3602.21,168.4,360.0,1.0,Real Estate,N
LP00274,Female,Yes,0,Not Graduate,No,3685,54.05,621.3,360.0,0.0,Real Estate,N
LP00275,Male,Yes,3+,Not Graduate,Yes,4290,14779.95,163.4,360.0,0.0,Real Estate,N
LP00276,Female,Yes,0,Graduate,No,6895,10092.6,607.9,360.0,1.0,Real Estate,N
LP00277,Male,Yes,1,Not Graduate,Yes,5762,7363.33,342.2,360.0,1.0,Real Estate,N
